ID_GEO;ID_LOCALIDADE;NOME;RS;RRAS
244;352120;IPORANGA;VALE DO RIBEIRA;RRAS07
245;352130;IPUA;ALTA ANHANGUERA;RRAS13
246;352140;IRACEMAPOLIS;LIMEIRA;RRAS14
247;352150;IRAPUA;CATANDUVA;RRAS12
248;352160;IRAPURU;ALTA PAULISTA;RRAS11
249;352170;ITABERA;ITAPEVA;RRAS08
250;352180;ITAI;VALE DO JURUMIRIM;RRAS09
251;352190;ITAJOBI;CATANDUVA;RRAS12
252;352200;ITAJU;JAU;RRAS09
253;352210;ITANHAEM;BAIXADA SANTISTA;RRAS07
254;352215;ITAOCA;ITAPEVA;RRAS08
255;352220;ITAPECERICA DA SERRA;MANANCIAIS;RRAS04
256;352230;ITAPETININGA;ITAPETININGA;RRAS08
257;352240;ITAPEVA;ITAPEVA;RRAS08
258;352250;ITAPEVI;ROTA DOS BANDEIRANTES;RRAS05
259;352260;ITAPIRA;BAIXA MOGIANA;RRAS15
260;352265;ITAPIRAPUA PAULISTA;ITAPEVA;RRAS08
261;352270;ITAPOLIS;NOROESTE DRS III;RRAS18
262;352280;ITAPORANGA;VALE DO JURUMIRIM;RRAS09
263;352290;ITAPUI;JAU;RRAS09
264;352300;ITAPURA;LAGOS DO DRS II;RRAS19
265;352310;ITAQUAQUECETUBA;ALTO DO TIETE;RRAS02
266;352320;ITARARE;ITAPEVA;RRAS08
267;352330;ITARIRI;VALE DO RIBEIRA;RRAS07
268;352340;ITATIBA;REG METRO CAMPINAS;RRAS15
269;352350;ITATINGA;POLO CUESTA;RRAS09
270;352360;ITIRAPINA;RIO CLARO;RRAS14
271;352370;ITIRAPUA;TRES COLINAS;RRAS13
272;352380;ITOBI;RIO PARDO;RRAS15
273;352390;ITU;SOROCABA;RRAS08
274;352400;ITUPEVA;JUNDIAI;RRAS16
275;352410;ITUVERAVA;ALTA MOGIANA;RRAS13
276;352420;JABORANDI;NORTE BARRETOS;RRAS13
277;352430;JABOTICABAL;HORIZONTE VERDE;RRAS13
278;352440;JACAREI;ALTO VALE DO PARAIBA;RRAS17
279;352450;JACI;JOSE BONIFACIO;RRAS12
280;352460;JACUPIRANGA;VALE DO RIBEIRA;RRAS07
281;352470;JAGUARIUNA;REG METRO CAMPINAS;RRAS15
282;352480;JALES;JALES;RRAS12
283;352490;JAMBEIRO;ALTO VALE DO PARAIBA;RRAS17
284;352500;JANDIRA;ROTA DOS BANDEIRANTES;RRAS05
285;352510;JARDINOPOLIS;AQUIFERO GUARANI;RRAS13
286;352520;JARINU;JUNDIAI;RRAS16
287;352530;JAU;JAU;RRAS09
288;352540;JERIQUARA;TRES COLINAS;RRAS13
289;352550;JOANOPOLIS;BRAGANCA;RRAS16
290;352560;JOAO RAMALHO;ALTO CAPIVARI;RRAS11
291;352570;JOSE BONIFACIO;JOSE BONIFACIO;RRAS12
292;352580;JULIO MESQUITA;MARILIA;RRAS10
293;352585;JUMIRIM;SOROCABA;RRAS08
294;352590;JUNDIAI;JUNDIAI;RRAS16
295;352600;JUNQUEIROPOLIS;ALTA PAULISTA;RRAS11
296;352610;JUQUIA;VALE DO RIBEIRA;RRAS07
297;352620;JUQUITIBA;MANANCIAIS;RRAS04
298;352630;LAGOINHA;VALE PARAIBA REGIAO SERRANA;RRAS17
299;352640;LARANJAL PAULISTA;POLO CUESTA;RRAS09
300;352650;LAVINIA;LAGOS DO DRS II;RRAS19
301;352660;LAVRINHAS;CIRCUITO DA FE VALE HISTORICO;RRAS17
302;352670;LEME;ARARAS;RRAS14
303;352680;LENCOIS PAULISTA;BAURU;RRAS09
304;352690;LIMEIRA;LIMEIRA;RRAS14
305;352700;LINDOIA;CIRCUITO DAS AGUAS;RRAS15
306;352710;LINS;LINS;RRAS09
307;352720;LORENA;CIRCUITO DA FE VALE HISTORICO;RRAS17
308;352725;LOURDES;CONSORCIOS DO DRS II;RRAS19
309;352730;LOUVEIRA;JUNDIAI;RRAS16
310;352740;LUCELIA;ADAMANTINA ;RRAS10
311;352750;LUCIANOPOLIS;BAURU;RRAS09
312;352760;LUIS ANTONIO;AQUIFERO GUARANI;RRAS13
313;352770;LUIZIANIA;CONSORCIOS DO DRS II;RRAS19
314;352780;LUPERCIO;MARILIA;RRAS10
315;352790;LUTECIA;ASSIS;RRAS10
316;352800;MACATUBA;BAURU;RRAS09
317;352810;MACAUBAL;VOTUPORANGA;RRAS12
318;352820;MACEDONIA;FERNANDOPOLIS;RRAS12
319;352830;MAGDA;VOTUPORANGA;RRAS12
320;352840;MAIRINQUE;SOROCABA;RRAS08
321;352850;MAIRIPORA;FRANCO DA ROCHA;RRAS03
322;352860;MANDURI;VALE DO JURUMIRIM;RRAS09
323;352870;MARABA PAULISTA;EXTREMO OESTE PAULISTA;RRAS11
324;352880;MARACAI;ASSIS;RRAS10
325;352885;MARAPOAMA;CATANDUVA;RRAS12
326;352890;MARIAPOLIS;ADAMANTINA ;RRAS10
327;352900;MARILIA;MARILIA;RRAS10
328;352910;MARINOPOLIS;JALES;RRAS12
329;352920;MARTINOPOLIS;ALTA SOROCABANA;RRAS11
330;352930;MATAO;NOROESTE DRS III;RRAS18
331;352940;MAUA;GRANDE ABC;RRAS01
332;352950;MENDONCA;JOSE BONIFACIO;RRAS12
333;352960;MERIDIANO;FERNANDOPOLIS;RRAS12
334;352965;MESOPOLIS;JALES;RRAS12
335;352970;MIGUELOPOLIS;ALTA MOGIANA;RRAS13
336;352980;MINEIROS DO TIETE;JAU;RRAS09
337;352990;MIRACATU;VALE DO RIBEIRA;RRAS07
338;353000;MIRA ESTRELA;FERNANDOPOLIS;RRAS12
339;353010;MIRANDOPOLIS;LAGOS DO DRS II;RRAS19
340;353020;MIRANTE DO PARANAPANEMA;PONTAL DO PARANAPANEMA;RRAS11
341;353030;MIRASSOL;SAO JOSE DO RIO PRETO;RRAS12
342;353040;MIRASSOLANDIA;SAO JOSE DO RIO PRETO;RRAS12
343;353050;MOCOCA;RIO PARDO;RRAS15
344;353060;MOGI DAS CRUZES;ALTO DO TIETE;RRAS02
345;353070;MOGI GUACU;BAIXA MOGIANA;RRAS15
346;353080;MOGI MIRIM;BAIXA MOGIANA;RRAS15
347;353090;MOMBUCA;PIRACICABA;RRAS14
348;353100;MONCOES;VOTUPORANGA;RRAS12
349;353110;MONGAGUA;BAIXADA SANTISTA;RRAS07
350;353120;MONTE ALEGRE DO SUL;CIRCUITO DAS AGUAS;RRAS15
351;353130;MONTE ALTO;HORIZONTE VERDE;RRAS13
352;353140;MONTE APRAZIVEL;JOSE BONIFACIO;RRAS12
353;353150;MONTE AZUL PAULISTA;SUL BARRETOS;RRAS13
354;353160;MONTE CASTELO;ALTA PAULISTA;RRAS11
355;353170;MONTEIRO LOBATO;ALTO VALE DO PARAIBA;RRAS17
356;353180;MONTE MOR;REG METRO CAMPINAS;RRAS15
357;353190;MORRO AGUDO;ALTA ANHANGUERA;RRAS13
358;353200;MORUNGABA;REG METRO CAMPINAS;RRAS15
359;353205;MOTUCA;CENTRAL DO DRS III;RRAS18
360;353210;MURUTINGA DO SUL;LAGOS DO DRS II;RRAS19
361;353215;NANTES;ALTO CAPIVARI;RRAS11
362;353220;NARANDIBA;ALTA SOROCABANA;RRAS11
363;353230;NATIVIDADE DA SERRA;VALE PARAIBA REGIAO SERRANA;RRAS17
364;353240;NAZARE PAULISTA;BRAGANCA;RRAS16
365;353250;NEVES PAULISTA;SAO JOSE DO RIO PRETO;RRAS12
366;353260;NHANDEARA;VOTUPORANGA;RRAS12
367;353270;NIPOA;JOSE BONIFACIO;RRAS12
368;353280;NOVA ALIANCA;SAO JOSE DO RIO PRETO;RRAS12
369;353282;NOVA CAMPINA;ITAPEVA;RRAS08
370;353284;NOVA CANAA PAULISTA;SANTA FE DO SUL;RRAS12
371;353286;NOVA CASTILHO;CENTRAL DO DRS II;RRAS19
372;353290;NOVA EUROPA;NOROESTE DRS III;RRAS18
373;353300;NOVA GRANADA;SAO JOSE DO RIO PRETO;RRAS12
374;353310;NOVA GUATAPORANGA;ALTA PAULISTA;RRAS11
375;353320;NOVA INDEPENDENCIA;LAGOS DO DRS II;RRAS19
376;353325;NOVAIS;CATANDUVA;RRAS12
377;353330;NOVA LUZITANIA;CENTRAL DO DRS II;RRAS19
378;353340;NOVA ODESSA;REG METRO CAMPINAS;RRAS15
379;353350;NOVO HORIZONTE;CATANDUVA;RRAS12
380;353360;NUPORANGA;ALTA ANHANGUERA;RRAS13
381;353370;OCAUCU;MARILIA;RRAS10
382;353380;OLEO;OURINHOS;RRAS10
383;353390;OLIMPIA;NORTE BARRETOS;RRAS13
384;353400;ONDA VERDE;SAO JOSE DO RIO PRETO;RRAS12
385;353410;ORIENTE;MARILIA;RRAS10
386;353420;ORINDIUVA;SAO JOSE DO RIO PRETO;RRAS12
387;353430;ORLANDIA;ALTA ANHANGUERA;RRAS13
388;353440;OSASCO;ROTA DOS BANDEIRANTES;RRAS05
389;353450;OSCAR BRESSANE;MARILIA;RRAS10
390;353460;OSVALDO CRUZ;ADAMANTINA ;RRAS10
391;353470;OURINHOS;OURINHOS;RRAS10
392;353475;OUROESTE;FERNANDOPOLIS;RRAS12
393;353480;OURO VERDE;ALTA PAULISTA;RRAS11
394;353490;PACAEMBU;ADAMANTINA ;RRAS10
395;353500;PALESTINA;SAO JOSE DO RIO PRETO;RRAS12
396;353510;PALMARES PAULISTA;CATANDUVA;RRAS12
397;353520;PALMEIRA DOESTE;JALES;RRAS12
398;353530;PALMITAL;ASSIS;RRAS10
399;353540;PANORAMA;ALTA PAULISTA;RRAS11
400;353550;PARAGUACU PAULISTA;ASSIS;RRAS10
401;353560;PARAIBUNA;ALTO VALE DO PARAIBA;RRAS17
402;353570;PARAISO;CATANDUVA;RRAS12
403;353580;PARANAPANEMA;VALE DO JURUMIRIM;RRAS09
404;353590;PARANAPUA;JALES;RRAS12
405;353600;PARAPUA;TUPA;RRAS10
406;353610;PARDINHO;POLO CUESTA;RRAS09
407;353620;PARIQUERA ACU;VALE DO RIBEIRA;RRAS07
408;353625;PARISI;VOTUPORANGA;RRAS12
409;353630;PATROCINIO PAULISTA;TRES COLINAS;RRAS13
410;353640;PAULICEIA;ALTA PAULISTA;RRAS11
411;353650;PAULINIA;REG METRO CAMPINAS;RRAS15
412;353657;PAULISTANIA;BAURU;RRAS09
413;353660;PAULO DE FARIA;SAO JOSE DO RIO PRETO;RRAS12
414;353670;PEDERNEIRAS;BAURU;RRAS09
415;353680;PEDRA BELA;BRAGANCA;RRAS16
416;353690;PEDRANOPOLIS;FERNANDOPOLIS;RRAS12
417;353700;PEDREGULHO;TRES COLINAS;RRAS13
418;353710;PEDREIRA;REG METRO CAMPINAS;RRAS15
419;353715;PEDRINHAS PAULISTA;ASSIS;RRAS10
420;353720;PEDRO DE TOLEDO;VALE DO RIBEIRA;RRAS07
421;353730;PENAPOLIS;CONSORCIOS DO DRS II;RRAS19
422;353740;PEREIRA BARRETO;LAGOS DO DRS II;RRAS19
423;353750;PEREIRAS;POLO CUESTA;RRAS09
424;353760;PERUIBE;BAIXADA SANTISTA;RRAS07
425;353770;PIACATU;CONSORCIOS DO DRS II;RRAS19
426;353780;PIEDADE;SOROCABA;RRAS08
427;353790;PILAR DO SUL;SOROCABA;RRAS08
428;353800;PINDAMONHANGABA;VALE PARAIBA REGIAO SERRANA;RRAS17
429;353810;PINDORAMA;CATANDUVA;RRAS12
430;353820;PINHALZINHO;BRAGANCA;RRAS16
431;353830;PIQUEROBI;EXTREMO OESTE PAULISTA;RRAS11
432;353850;PIQUETE;CIRCUITO DA FE VALE HISTORICO;RRAS17
433;353860;PIRACAIA;BRAGANCA;RRAS16
434;353870;PIRACICABA;PIRACICABA;RRAS14
435;353880;PIRAJU;VALE DO JURUMIRIM;RRAS09
436;353890;PIRAJUI;BAURU;RRAS09
437;353900;PIRANGI;CATANDUVA;RRAS12
438;353910;PIRAPORA DO BOM JESUS;ROTA DOS BANDEIRANTES;RRAS05
439;353920;PIRAPOZINHO;ALTA SOROCABANA;RRAS11
440;353930;PIRASSUNUNGA;ARARAS;RRAS14
441;353940;PIRATININGA;BAURU;RRAS09
442;353950;PITANGUEIRAS;HORIZONTE VERDE;RRAS13
443;353960;PLANALTO;JOSE BONIFACIO;RRAS12
444;353970;PLATINA;ASSIS;RRAS10
445;353980;POA;ALTO DO TIETE;RRAS02
446;353990;POLONI;JOSE BONIFACIO;RRAS12
447;354000;POMPEIA;MARILIA;RRAS10
448;354010;PONGAI;LINS;RRAS09
449;354020;PONTAL;HORIZONTE VERDE;RRAS13
450;354025;PONTALINDA;JALES;RRAS12
451;354030;PONTES GESTAL;VOTUPORANGA;RRAS12
452;354040;POPULINA;FERNANDOPOLIS;RRAS12
453;354050;PORANGABA;POLO CUESTA;RRAS09
454;354060;PORTO FELIZ;SOROCABA;RRAS08
455;354070;PORTO FERREIRA;CORACAO DO DRS III;RRAS18
456;354075;POTIM;CIRCUITO DA FE VALE HISTORICO;RRAS17
457;354080;POTIRENDABA;SAO JOSE DO RIO PRETO;RRAS12
458;354085;PRACINHA;ADAMANTINA ;RRAS10
459;354090;PRADOPOLIS;HORIZONTE VERDE;RRAS13
460;354100;PRAIA GRANDE;BAIXADA SANTISTA;RRAS07
461;354105;PRATANIA;POLO CUESTA;RRAS09
462;354110;PRESIDENTE ALVES;BAURU;RRAS09
463;354120;PRESIDENTE BERNARDES;ALTA SOROCABANA;RRAS11
464;354130;PRESIDENTE EPITACIO;EXTREMO OESTE PAULISTA;RRAS11
465;354140;PRESIDENTE PRUDENTE;ALTA SOROCABANA;RRAS11
466;354150;PRESIDENTE VENCESLAU;EXTREMO OESTE PAULISTA;RRAS11
