"ANO";"NOME";"Notificacoes_Estupro";"nivel_geografico";"total_72h";"casos_72h";"Oportunidade_72h";"total_pep";"casos_72h_pep";"PEP_72h";"total_contr";"casos_72h_contr";"Contracepção_72h_MIF";"COD_6_mun"
2015;"MACEDONIA";1;"Município";1;1;100;0;0;0;0;0;0;"352820"
2015;"MAIRINQUE";8;"Município";8;7;87,5;2;2;100;0;0;0;"352840"
2015;"MAIRIPORA";3;"Município";3;3;100;1;1;100;0;0;0;"352850"
2015;"MARACAI";2;"Município";2;2;100;1;1;100;0;0;0;"352880"
2015;"MARILIA";16;"Município";16;13;81,25;11;10;90,91;5;5;100;"352900"
2015;"MARTINOPOLIS";3;"Município";3;0;0;0;0;0;0;0;0;"352920"
2015;"MAUA";110;"Município";110;95;86,36;9;9;100;5;5;100;"352940"
2015;"MENDONCA";1;"Município";1;1;100;1;1;100;0;0;0;"352950"
2015;"MIGUELOPOLIS";1;"Município";1;1;100;1;1;100;1;1;100;"352970"
2015;"MINEIROS DO TIETE";1;"Município";1;1;100;0;0;0;0;0;0;"352980"
2015;"MIRACATU";1;"Município";1;0;0;0;0;0;0;0;0;"352990"
2015;"MIRASSOL";7;"Município";7;7;100;4;4;100;1;1;100;"353030"
2015;"MIRASSOLANDIA";2;"Município";2;2;100;0;0;0;0;0;0;"353040"
2015;"MOGI DAS CRUZES";79;"Município";79;71;89,87;3;3;100;1;1;100;"353060"
2015;"MOGI GUACU";7;"Município";7;4;57,14;2;2;100;0;0;0;"353070"
2015;"MOGI MIRIM";4;"Município";4;4;100;0;0;0;0;0;0;"353080"
2015;"MONGAGUA";5;"Município";5;5;100;3;3;100;2;2;100;"353110"
2015;"MONTE APRAZIVEL";4;"Município";4;4;100;4;4;100;0;0;0;"353140"
2015;"MONTE MOR";9;"Município";9;7;77,78;4;3;75;4;3;75;"353180"
2015;"MORRO AGUDO";2;"Município";2;1;50;1;0;0;0;0;0;"353190"
2015;"MURUTINGA DO SUL";1;"Município";1;1;100;0;0;0;0;0;0;"353210"
2015;"NAZARE PAULISTA";1;"Município";1;1;100;0;0;0;0;0;0;"353240"
2015;"NEVES PAULISTA";1;"Município";1;1;100;0;0;0;0;0;0;"353250"
2015;"NOVA ALIANCA";1;"Município";1;0;0;0;0;0;0;0;0;"353280"
2015;"NOVA GRANADA";3;"Município";3;3;100;3;3;100;0;0;0;"353300"
2015;"NOVA INDEPENDENCIA";1;"Município";1;1;100;0;0;0;0;0;0;"353320"
2015;"NOVA ODESSA";5;"Município";5;5;100;3;3;100;2;2;100;"353340"
2015;"NOVAIS";1;"Município";1;1;100;1;1;100;1;1;100;"353325"
2015;"OLIMPIA";1;"Município";1;1;100;1;1;100;1;1;100;"353390"
2015;"ONDA VERDE";1;"Município";1;1;100;0;0;0;0;0;0;"353400"
2015;"OSASCO";83;"Município";83;60;72,29;6;2;33,33;0;0;0;"353440"
2015;"OURINHOS";18;"Município";18;18;100;5;5;100;2;2;100;"353470"
2015;"OUROESTE";2;"Município";2;2;100;1;1;100;0;0;0;"353475"
2015;"PALMARES PAULISTA";1;"Município";1;1;100;1;1;100;0;0;0;"353510"
2015;"PALMITAL";1;"Município";1;1;100;0;0;0;0;0;0;"353530"
2015;"PARAGUACU PAULISTA";6;"Município";6;6;100;1;1;100;0;0;0;"353550"
2015;"PARANAPANEMA";2;"Município";2;2;100;2;2;100;0;0;0;"353580"
2015;"PARIQUERA ACU";5;"Município";5;5;100;1;1;100;2;2;100;"353620"
2015;"PAULINIA";9;"Município";9;7;77,78;5;5;100;4;4;100;"353650"
2015;"PEDRA BELA";1;"Município";1;1;100;0;0;0;0;0;0;"353680"
2015;"PEDREIRA";1;"Município";1;1;100;0;0;0;0;0;0;"353710"
